Code	Name	Monthly	From	To	Subject
120010	מדד המחירים לצרכן - כללי	true	1951-09-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
120020	המדד ללא ירקות ופירות	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
110040	המדד ללא דיור	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
120030	המדד ללא ירקות ופירות וללא דיור	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
110045	המדד ללא אנרגיה	true	2007-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
110050	מזון כולל ירקות ופירות	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
120050	מזון ללא ירקות ופירות	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
120040	ירקות ופירות	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
120450	דיור	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
120520	תחזוקת הדירה	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
120660	ריהוט וציוד לבית	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
120850	הלבשה והנעלה	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
121230	בריאות	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
121050	חינוך, תרבות ובידור	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
121320	תחבורה ותקשורת	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
121430	שונות	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות"
120060	לחם, דגנים ומוצרי בצק	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120070	לחם	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120080	ביסקוויטים, עוגות וכדומה	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120090	קמח	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120100	מוצרי בצק	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120110	קטניות ומוצרי דגן	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120130	בשר, עופות, דגים ומוצריהם	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120140	בשר בקר	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120150	בשר בהמה אחר:  כבש וחזיר	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120160	עופות	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120170	בשר משומר ומעובד	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120180	דגים	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120190	שימורי דגים ודגים מעובדים	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120200	שמנים ומרגרינה	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120210	שמנים	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120220	מרגרינה	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120230	חלב ומוצרי חלב	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120240	חלב	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120250	לבן, יוגורט ומעדני חלב	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120260	שמנת	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120270	חמאה	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120280	גבינה	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120285	גלידות	true	1988-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120120	ביצים	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
120370	סוכר, ריבה וממתקים	true	1983-01-16	2026-04-27	"מדד המחירים לצרכן (כולל מע""מ), לפי קבוצות צריכה ראשיות וקבוצות משניות"
