Chapter ID,Name,Order,Main Code
a,מדד המחירים לצרכן,1,120010
aa,מדד ומחירים ממוצעים משוק הדירות,2,40010
b,מדד מחירי יצרן - תפוקת התעשייה ליעדים מקומיים,3,170030
ba,מדד מחירי יצרן - יצוא בענפי התעשייה,4,
ba,"מדד מחירי יצרן - יצוא בענפי התעשייה, כרייה וחציבה",4,
bb,מדד מחירי יצרן - ענפי השירותים,5,
c,מדד מחירי תשומה בבנייה למגורים,6,200010
ca,מדד מחירי תשומה בבנייה למסחר ולמשרדים,7,800010
d,מדד מחירי תשומה בסלילה וגישור,8,240010
e,מדד מחירי תשומה בחקלאות,9,260010
f,מדד מחירי תשומה באוטובוסים,10,440010
fa,מדד מחירי תשומה באוטובוסים זעירים ציבוריים,11,432010
g,כללי,12,
j,כללי - ירחון סטטיסטי,13,
