Code,Subject
47,SDDS PLUS
2,אוכלוסייה
38,איכות הסביבה
42,אנרגיה  (נתונים משנת 2013  ואילך )
44,"בינוי ונדל""ן"
4,בריאות
40,הוצאה לאומית
51,חברות הזנק ואקזיטים
21,חינוך
12,חקלאות
37,"חשבונות לאומיים   (נתונים  מ-1995 ,SNA 2008)"
66,"חשבונות לאומיים  (נתונים עד 1995 ,SNA 1968)"
52,יצוא שירותים
7,מאזן התשלומים
45,מדדי איכות חיים
48,מדדי פיתוח בר-קיימה SDGs
39,מחקר ופיתוח
26,משרות פנויות על פי סקר משרות פנויות (סיווג ענפי כלכלה ומשלחי יד 1993 )
35,משרות פנויות על פי סקר משרות פנויות (סיווג ענפי כלכלה ומשלחי יד 2011 )
11,נתוני תעסוקה על פי סקר כוח אדם
8,סחר חוץ
50,סטטיסטיקה מגדרית
28,סקר אמון הצרכנים
31,סקר הערכות עסקים  (סיווג ענפי כלכלה 1993)
34,סקר הערכות עסקים  (סיווג ענפי כלכלה 2011)
49,סקר שימושים בטכנולוגיות מידע ותקשורת בעסקים
16,עסקים ומסחר
18,פשיעה ומשפט
20,תאונות דרכים
17,תחבורה ותקשורת
27,תיירות ושירותי הארחה
33,"תעסוקה ושכר, על פי המוסד לביטוח לאומי  (סיווג ענפי כלכלה 2011)"
23,"תעסוקה ושכר, על פי מוסד לביטוח לאומי  (סיווג ענפי כלכלה 1993)"
13,תעשייה (סיווג ענפי כלכלה 1993)
36,תעשייה (סיווג ענפי כלכלה 2011 )
