Parent Code,Parent Subject,Code,Subject
47,SDDS PLUS,47,Fiscal Sector
47,SDDS PLUS,47,Financial Sector
2,אוכלוסייה,2,"אוכלוסייה, לפי קבוצת אוכלוסייה"
2,אוכלוסייה,2,"נישואין, גירושין, לידות-חי ופטירות"
2,אוכלוסייה,2,לידות-חי ופטירות
38,איכות הסביבה,38,איכות אוויר
38,איכות הסביבה,38,גזי חממה
38,איכות הסביבה,38,פסולת ביתית ומסחרית
38,איכות הסביבה,38,חומרים מסוכנים
38,איכות הסביבה,38,פסולת תעשייתית
38,איכות הסביבה,38,פסולת ממוחזרת
38,איכות הסביבה,38,פסולת מסוכנת
38,איכות הסביבה,38,מים
42,אנרגיה  (נתונים משנת 2013  ואילך ),42,חשמל
42,אנרגיה  (נתונים משנת 2013  ואילך ),42,מאזן אנרגיה של ישראל
42,אנרגיה  (נתונים משנת 2013  ואילך ),42,אינדיקאטורים (ישראל והשוואה בינלאומית)
42,אנרגיה  (נתונים משנת 2013  ואילך ),42,מקורות ושימושים של אנרגיה
44,"בינוי ונדל""ן",44,התחלות בנייה
44,"בינוי ונדל""ן",44,גמר בנייה
44,"בינוי ונדל""ן",44,בבנייה פעילה
44,"בינוי ונדל""ן",44,חודשי בנייה לבניין
44,"בינוי ונדל""ן",44,עבודות הנדסה אזרחית
44,"בינוי ונדל""ן",44,"דירות, לפי שלבי בנייה: היתר בנייה, התחלת בנייה וגמר בנייה"
44,"בינוי ונדל""ן",44,"דירות בעסקאות נדל""ן"
44,"בינוי ונדל""ן",44,היתרי בנייה
4,בריאות,4,שיעורי תמותה לפי סיבות מוות
4,בריאות,4,תוחלת חיים בלידה
4,בריאות,4,הפסקות היריון
4,בריאות,4,הוצאה לאומית לבריאות
40,הוצאה לאומית,40,הוצאה לאומית לחינוך
40,הוצאה לאומית,40,"הוצאה לאומית למו""פ אזרחי"
40,הוצאה לאומית,40,הוצאה לאומית לבריאות
40,הוצאה לאומית,40,"הוצאה לאומית לתרבות, לבידור ולספורט"
40,הוצאה לאומית,40,הכנסות והוצאות למלכיירים
40,הוצאה לאומית,40,הוצאה לאומית לרווחה
51,חברות הזנק ואקזיטים,51,חברות הזנק
51,חברות הזנק ואקזיטים,51,אקזיטים
21,חינוך,21,"בתי ספר, כיתות ותלמידים"
21,חינוך,21,סטודנטים באוניברסיטאות - נתונים עד 2010
21,חינוך,21,מקבלי תארים בהשכלה גבוהה - נתונים עד 2010
21,חינוך,21,ילדים עם צרכים מיוחדים בדרגי החינוך השונים
21,חינוך,21,נבחנים בבחינות בגרות לפי זכאות לתעודה ותכונות נבחרות
21,חינוך,21,"הישגים של תלמידי כיתות ה,ח בבחינות מייצב (מדדי יעילות וצמיחה בית ספרית) לפי תכונות נבחרות (ציון ממוצע)"
21,חינוך,21,נבחנים בבחינות בגרות אקסטרניות וזכאים לתעודה
21,חינוך,21,"תלמידים בבתי ספר לחניכים בפיקוח משרד התעשייה, המסחר והתעסוקה"
21,חינוך,21,הוצאה לאומית לחינוך
21,חינוך,21,רמת השכלה
21,חינוך,21,סטודנטים
12,חקלאות,12,שיווק תוצרת חקלאית מקומית
12,חקלאות,12,יצוא חקלאי
12,חקלאות,12,מכירת תערובות
12,חקלאות,12,מדד מחירי תפוקה חקלאית
12,חקלאות,12,"אספקת מזון וערכים תזונתיים, לנפש ליום"
12,חקלאות,12,שימושי קרקע
12,חקלאות,12,שטחי גידולים חקלאיים
12,חקלאות,12,קבלת ירקות ופירות נבחרים מייצור מקומי במפעלי תעשייה
12,חקלאות,12,אטלס חקלאות - נתונים היסטוריים
12,חקלאות,12,מדדי חקלאות -  סביבה
12,חקלאות,12,חומרי הדברה
12,חקלאות,12,שטח יער נטוע
37,"חשבונות לאומיים   (נתונים  מ-1995 ,SNA 2008)",37,תוצר מקומי גולמי
37,"חשבונות לאומיים   (נתונים  מ-1995 ,SNA 2008)",37,הוצאה לצריכה פרטית
37,"חשבונות לאומיים   (נתונים  מ-1995 ,SNA 2008)",37,הוצאה לצריכה ציבורית
37,"חשבונות לאומיים   (נתונים  מ-1995 ,SNA 2008)",37,השקעה גולמית מקומית
37,"חשבונות לאומיים   (נתונים  מ-1995 ,SNA 2008)",37,יצוא סחורות ושירותים
37,"חשבונות לאומיים   (נתונים  מ-1995 ,SNA 2008)",37,יבוא סחורות ושירותים
37,"חשבונות לאומיים   (נתונים  מ-1995 ,SNA 2008)",37,מועסקים ושעות עבודה של מועסקים
37,"חשבונות לאומיים   (נתונים  מ-1995 ,SNA 2008)",37,תמורה לעבודת שכירים
66,"חשבונות לאומיים  (נתונים עד 1995 ,SNA 1968)",66,נתונים מ-1980 עד 1995 (SNA68)
66,"חשבונות לאומיים  (נתונים עד 1995 ,SNA 1968)",66,נתונים מ-1950 עד 1980 (SNA68)
52,יצוא שירותים,52,"לוח 1: יצוא שירותים (נתונים מקוריים, מנוכה עונתי  ומגמה)"
52,יצוא שירותים,52,לוח 2: יצוא שירותים (נתונים מקוריים)
7,מאזן התשלומים,7,החשבון השוטף
7,מאזן התשלומים,7,חשבון סחר סחורות
7,מאזן התשלומים,7,חשבון שירותים
7,מאזן התשלומים,7,חשבון הכנסות ראשוניות
7,מאזן התשלומים,7,חשבון הכנסות משניות (העברות שוטפות)
7,מאזן התשלומים,7,חשבון פיננסי
7,מאזן התשלומים,7,הנכסים וההתחייבויות של המשק
7,מאזן התשלומים,7,הפרשים סטטיסטיים
45,מדדי איכות חיים,45,מדדים בהשוואה בין תחומים
45,מדדי איכות חיים,45,מדדים מפורטים
45,מדדי איכות חיים,45,מדדים לפי ערים גדולות
45,מדדי איכות חיים,45,מדדים בהשוואה בין-לאומית
45,מדדי איכות חיים,45,מדדים לפי מחוזות
45,מדדי איכות חיים,45,פערים נשים / גברים
45,מדדי איכות חיים,45,פערים יהודים / ערבים
48,מדדי פיתוח בר-קיימה SDGs,48,לפי תכונות עיקריות
39,מחקר ופיתוח,39,מחקר ופיתוח עסקי
39,מחקר ופיתוח,39,הוצאה לאומית למחקר ופיתוח אזרחי
26,משרות פנויות על פי סקר משרות פנויות (סיווג ענפי כלכלה ומשלחי יד 1993 ),26,מספר משרות פנויות (אומדן מנופח)
26,משרות פנויות על פי סקר משרות פנויות (סיווג ענפי כלכלה ומשלחי יד 1993 ),26,"מספר משרות פנויות לפי סיווג של משלח יד (למ""ס 1994) וענף כלכלי (אומדן מנופח)"
26,משרות פנויות על פי סקר משרות פנויות (סיווג ענפי כלכלה ומשלחי יד 1993 ),26,מספר משרות פנויות לפי ענף כלכלי וקבוצות נבחרות של משלחי יד (אומדן מנופח)
35,משרות פנויות על פי סקר משרות פנויות (סיווג ענפי כלכלה ומשלחי יד 2011 ),35,מספר ושיעור משרות פנויות (אומדן מנופח)
35,משרות פנויות על פי סקר משרות פנויות (סיווג ענפי כלכלה ומשלחי יד 2011 ),35,מספר משרות פנויות לפי סיווג של משלח יד וענף כלכלי (אומדן מנופח)
35,משרות פנויות על פי סקר משרות פנויות (סיווג ענפי כלכלה ומשלחי יד 2011 ),35,מספר משרות פנויות עבור קבוצות נבחרות של משלחי יד (אומדן מנופח)
