date,value_final,pct_year
2010-01,101.8,1.0
2010-02,101.4,-0.1
2010-03,101.7,0.0
2010-04,101.6,0.3
2010-05,101.0,0.4
2010-06,100.9,-0.5
2010-07,100.5,0.9
2010-08,98.8,-2.2
2010-09,98.4,-2.5
2010-10,98.9,-0.7
2010-11,97.3,-2.8
2010-12,97.7,-2.7
2011-01,99.4,-2.4
2011-02,99.6,-1.8
2011-03,99.5,-2.2
2011-04,99.2,-2.4
2011-05,98.5,-2.5
2011-06,98.7,-2.2
2011-07,98.5,-2.0
2011-08,98.2,-0.6
2011-09,97.7,-0.7
2011-10,97.7,-1.2
2011-11,97.7,0.4
2011-12,97.3,-0.4
2012-01,97.2,-2.2
2012-02,97.5,-2.1
2012-03,97.8,-1.7
2012-04,97.3,-1.9
2012-05,95.8,-2.7
2012-06,95.6,-3.1
2012-07,94.9,-3.8
2012-08,95.4,-2.9
2012-09,96.0,-1.7
2012-10,96.3,-1.4
2012-11,95.9,-1.8
2012-12,94.9,-2.6
2013-01,94.7,-2.7
2013-02,95.7,-1.9
2013-03,96.1,-1.8
2013-04,95.5,-1.9
2013-05,95.6,-0.3
2013-06,94.8,-0.9
2013-07,94.4,-0.6
2013-08,94.2,-1.4
2013-09,93.7,-2.5
2013-10,94.9,-1.5
2013-11,93.9,-2.2
2013-12,92.9,-2.1
2014-01,92.3,-2.5
2014-02,93.1,-2.7
2014-03,93.1,-3.1
2014-04,92.8,-2.9
2014-05,93.4,-2.3
2014-06,93.1,-1.8
2014-07,92.0,-2.6
2014-08,92.1,-2.2
2014-09,92.4,-1.4
2014-10,92.8,-2.2
2014-11,92.2,-1.8
2014-12,91.4,-1.7
2015-01,92.1,-0.3
2015-02,92.2,-1.1
2015-03,92.3,-1.0
2015-04,92.1,-0.8
2015-05,92.0,-1.6
2015-06,92.3,-1.0
2015-07,91.4,-0.7
2015-08,91.4,-0.8
2015-09,91.5,-1.0
2015-10,91.2,-1.9
2015-11,91.3,-1.0
2015-12,91.4,-0.1
2016-01,90.8,-1.4
2016-02,91.9,-0.3
2016-03,91.6,-0.7
2016-04,91.7,-0.4
2016-05,92.1,0.1
2016-06,92.2,-0.1
2016-07,91.6,0.2
2016-08,91.2,-0.2
2016-09,90.7,-0.9
2016-10,90.6,-0.6
2016-11,91.1,-0.3
2016-12,90.2,-1.3
2017-01,90.4,-0.4
2017-02,91.8,-0.1
2017-03,90.9,-0.8
2017-04,90.2,-1.6
2017-05,90.8,-1.4
2017-06,90.5,-1.8
2017-07,89.7,-2.1
2017-08,89.7,-1.7
2017-09,89.0,-1.9
2017-10,88.7,-2.1
2017-11,89.5,-1.7
2017-12,88.6,-1.8
2018-01,89.1,-1.4
2018-02,89.4,-2.6
2018-03,88.9,-2.1
2018-04,88.8,-1.6
2018-05,88.6,-2.4
2018-06,88.9,-1.8
2018-07,88.9,-0.9
2018-08,88.1,-1.7
2018-09,87.9,-1.2
2018-10,88.5,-0.2
2018-11,88.3,-1.3
2018-12,88.4,-0.2
2019-01,89.2,0.1
2019-02,89.9,0.6
2019-03,89.3,0.4
2019-04,88.6,-0.2
2019-05,88.7,0.1
2019-06,88.8,0.0
2019-07,88.4,-0.5
2019-08,88.2,0.1
2019-09,88.0,0.2
2019-10,88.3,-0.2
2019-11,88.1,-0.2
2019-12,87.6,-0.9
2020-01,87.7,-1.7
2020-02,87.9,-2.3
2020-03,87.6,-1.9
2020-04,87.9,-0.8
2020-05,87.5,-1.3
2020-06,88.0,-0.9
2020-07,87.8,-0.7
2020-08,87.2,-1.2
2020-09,87.1,-1.1
2020-10,87.2,-1.2
2020-11,86.7,-1.6
2020-12,87.0,-0.7
2021-01,87.2,-0.6
2021-02,87.6,-0.3
2021-03,88.7,1.3
2021-04,89.4,1.7
2021-05,90.2,3.0
2021-06,90.6,2.9
2021-07,91.7,4.4
2021-08,92.1,5.5
2021-09,92.8,6.4
2021-10,93.1,6.5
2021-11,92.1,6.1
2021-12,93.4,7.2
2022-01,94.3,8.0
2022-02,94.4,7.6
2022-03,94.0,5.8
2022-04,93.2,4.2
2022-05,94.0,4.2
2022-06,94.3,4.0
2022-07,94.6,3.1
2022-08,94.7,2.9
2022-09,95.2,2.5
2022-10,94.5,1.4
2022-11,94.3,2.3
2022-12,93.6,0.1
2023-01,94.4,0.0
2023-02,94.1,-0.4
2023-03,92.6,-1.6
2023-04,92.8,-0.5
2023-05,92.5,-1.7
2023-06,91.9,-2.6
2023-07,91.0,-3.9
2023-08,91.1,-3.9
2023-09,91.2,-4.3
2023-10,91.2,-3.5
2023-11,91.1,-3.4
2023-12,90.1,-3.8
2024-01,90.5,-4.1
2024-02,91.5,-2.7
2024-03,91.1,-1.6
2024-04,90.1,-3.0
2024-05,90.7,-1.9
2024-06,90.6,-1.4
2024-07,90.2,-0.8
2024-08,89.9,-1.3
2024-09,90.3,-0.9
2024-10,89.7,-1.7
2024-11,90.2,-0.9
2024-12,90.3,0.3
2025-01,91.3,0.9
2025-02,91.4,-0.1
2025-03,90.6,-0.5
2025-04,90.0,-0.1
2025-05,90.2,-0.5
2025-06,90.3,-0.3
2025-07,89.6,-0.7
2025-08,89.2,-0.7
2025-09,89.1,-1.4
2025-10,89.2,-0.5
2025-11,88.0,-2.5
2025-12,87.9,-2.7
2026-01,88.2,-3.5
2026-02,88.1,-3.7
2026-03,87.6,-3.3
2026-04,87.9,-2.3
